id,year,domain,subject,data_modality,title,venue,doi,has_pdf
37,2025,Clinical ML,Osteoporosis,clinical tabular,An application to detect osteoporosis using ensemble Machine learning with hyperparameter tuning and model interpretability,Clinical eHealth,10.1016/j.ceh.2025.10.003,no
64,2025,Clinical ML,Osteoporosis,clinical tabular,A Hybrid Ensemble Approach with Feature Selection and Interpretability to Optimize Osteoporosis Risk Prediction,,10.1109/ecce64574.2025.11013870,no
51,2024,Clinical ML,Ovarian cancer,biomarkers,Machine Learning Techniques for Predicting Ovarian Cancer in its Early Stages Using Biomarkers,,10.1109/iceeict62016.2024.10534382,no
21,2025,Clinical ML,PCOS,clinical tabular,Early PCOS Detection: A Comparative Analysis of Traditional and Ensemble Machine Learning Models With Advanced Feature Selection,Engineering Reports,10.1002/eng2.70008,no
34,2025,Clinical ML,PCOS,clinical tabular,"Improving diagnostic accuracy for PCOS: A hybrid machine learning architecture with feature selection, data balancing, and explainable AI techniques",Results in Control and Optimization,10.1016/j.rico.2025.100647,no
97,2025,Clinical ML,PCOS,clinical tabular,Explainable AI-Driven Ensemble Learning Framework for PCOS Diagnosis Using AIM-PDCF and QuantumgraphRFE Feature Selection,,10.1109/iccit68739.2025.11491104,no
169,2026,Clinical ML,PCOS,clinical tabular,A Two‐Stage Hybrid Feature Selection and Ensemble Learning Framework With Explainable AI for Accurate PCOS Prediction,Health Science Reports,10.1002/hsr2.73100,no
125,2026,Clinical ML,Paediatric respiratory mortality,clinical + socioeconomic,Integrating Clinical and Socioeconomic Features in an Explainable Ai Model for Paediatric Respiratory Disease Prediction,,10.1109/qpain69676.2026.11546094,no
86,2025,Clinical ML,Paediatric respiratory mortality,clinical tabular,Mortality Prediction in Pediatric Respiratory Disorders Using Ensemble Machine Learning and Explainable Artificial Intelligence,Communications in computer and information science,10.1007/978-3-032-11352-8_12,no
130,2026,Clinical ML,Paediatric respiratory mortality,clinical tabular,Explainable AI-Driven Clinical Decision Support for Mortality Risk Stratification in Pediatric Respiratory Disorders,Artificial Intelligence and Applications,10.47852/bonviewaia62028365,yes
61,2024,Clinical ML,Pancreatic cancer,clinical tabular,Machine Learning Based Earlier Pancreatic Cancer Detection Using Hybrid Feature Selection,,10.1109/becithcon64160.2024.10962674,no
74,2024,Clinical ML,Parkinson's disease,voice (MDVP),Diagnosis of Parkinson’s Diseases with MDVP Features Using Machine Learning Approaches,,10.1109/becithcon64160.2024.10962685,no
31,2025,Clinical ML,Parkinson's disease,multimodal,Exploring Multimodal Framework of Optimized Feature-Based Machine Learning to Revolutionize the Diagnosis of Parkinson’s Disease: AI-Driven Insights,Biomedical Materials & Devices,10.1007/s44174-025-00279-4,no
106,2025,Clinical ML,Parkinson's disease,clinical tabular,A Comparative Analysis of Machine Learning Algorithms for the Identification of Parkinson's Disease Using Optimized Feature Selection,,10.1109/becithcon69222.2025.11504114,no
101,2025,Clinical ML,Prostate cancer,clinical tabular,A Hybrid Machine Learning Approach with Explainable AI for Prostate Cancer Diagnosis,,10.1109/raaicon69033.2025.11502246,no
122,2026,Clinical ML,Prostate cancer,clinical tabular,An Ensemble Machine Learning Framework for Accurate Prediction of Prostate Cancer from Clinical Data,,10.1109/qpain69676.2026.11546657,no
108,2025,Clinical ML,Sleep disorder,clinical tabular,Exploring Sleep Disorder Classification: An Evaluation of Traditional and Ensemble ML Models with XAI Interpretability,,10.1109/becithcon69222.2025.11504095,no
1,2022,Clinical ML,Stroke,clinical tabular,A comparative analysis of machine learning classifiers for stroke prediction: A predictive analytics approach,Healthcare Analytics,10.1016/j.health.2022.100116,no
20,2024,Clinical ML,Thyroid disease,clinical tabular,An ensemble machine learning-based approach to predict thyroid disease using hybrid feature selection,Biomedical Analysis,10.1016/j.bioana.2024.08.001,no
78,2025,Clinical ML,Thyroid disease,clinical tabular,Towards Accurate Thyroid Disease Diagnosis: A Robust Ensemble Machine Learning Approach with SMOTE and Feature Selection,,10.1109/qpain66474.2025.11171909,no
89,2025,Clinical ML,Thyroid disease,clinical tabular,"Early Thyroid Disease Diagnosis Using a Hybrid Ensemble Learning Approach with Feature Selection, SMOTE, and Model Explainability",Communications in computer and information science,10.1007/978-3-032-11335-1_21,no
111,2025,Clinical ML,Thyroid disease,clinical tabular,An Ensemble Machine Learning and Explainable AI Framework for Thyroid Disease Classification,,10.1109/becithcon69222.2025.11504233,no
52,2024,Computer vision,Bangla license plates,images,Bangla License Plate Detection and Recognition Approach Based on Computer Vision for Authentic Vehicle Identification,Lecture notes in networks and systems,10.1007/978-981-97-3937-0_19,no
58,2023,Education / HCI,Course/program outcome recommender,academic records,Course Outcomes and Program Outcomes Evaluation with the Recommendation System for the Students,Lecture notes on data engineering and communications technologies,10.1007/978-3-031-36115-9_93,no
57,2023,Education / HCI,E-learning usability,heuristic evaluation,Evaluating Usability of E-Learning Applications in Bangladesh: A Semiotic and Heuristic Evaluation Approach,Lecture notes on data engineering and communications technologies,10.1007/978-3-031-36115-9_13,no
5,2024,Environment,Air quality,sensor / time series,AirNet: predictive machine learning model for air quality forecasting using web interface,ENVIRONMENTAL SYSTEMS RESEARCH,10.1186/s40068-024-00378-z,yes
56,2023,Environment,Landslide risk,geospatial,Dangerous Landslide Suspectable Region Forecasting in Bangladesh – A Machine Learning Fusion Approach,Lecture notes on data engineering and communications technologies,10.1007/978-3-031-36115-9_28,no
121,2026,Environment,Water potability,tabular,An Explainable Machine Learning Model for Water Potability Assessment Using SHAP and Hybrid Feature Selection,,10.1109/qpain69676.2026.11546527,no
102,2025,Finance,Credit card fraud,transaction tabular,An Interpretable ML-Based Framework for Credit Card Fraud Detection Using Ensemble Learning and Feature Selection,,10.1109/raaicon69033.2025.11502403,no
53,2025,Finance,Loan approval,tabular,An Integrated Approach Using Ensemble Machine Learning and Deep Learning for Loan Approval Prediction,,10.1109/ecce64574.2025.11013889,no
96,2025,Finance,Loan approval,tabular,A Hybrid Framework Combining Machine Learning and Deep Learning for Intelligent Loan Approval Prediction,,10.1109/iccit68739.2025.11491621,no
83,2025,Finance,Stock price forecasting,time series,Diverse Minds Think Alike: A SHAP-Guided RNN for Stock Price Forecasting with Smart SMA Optimization,,10.1109/aibthings66987.2025.11296244,no
92,2026,Finance,Sustainable finance / ESG portfolio,game theory DSS,Nash Equilibrium in Sustainable Finance: Designing a Game-Theoretic DSS for Compliance-Aligned Portfolio Optimization,IEEE Access,10.1109/access.2026.3668480,yes
119,2026,Finance,Systemic risk / ESG,company financials,CERN: A Hybrid Chaos-EVT Copula Network for Company-Level Systemic Risk Assessment Incorporating ESG Dynamics,Information systems engineering and management,10.1007/978-3-032-23547-3_34,no
126,2026,Industrial CV,Electrical isolator defects,images,Explainable AI-Driven Convolutional Neural Network for Predicting Electrical Isolator Defects for Smart Grid Monitoring,,10.1109/qpain69676.2026.11546295,no
47,2021,IoT / systems,Attendance system,face recognition,Artificial Intelligence Based Real-Time Attendance System Using Face Recognition,,10.1109/iceeict53905.2021.9667836,yes
41,2023,IoT / systems,Home automation security,multimodal biometrics,Artificial Intelligence Based Domotics Using Multimodal Security,International Journal of Intelligent Systems and Applications,10.5815/ijisa.2023.03.04,yes
65,2021,IoT / systems,Parcel carrying system,embedded,CarryIT: Design and Implementation of an Effective Parcel Carrying System,International Journal of Education and Management Engineering,10.5815/ijeme.2021.03.03,yes
39,2022,IoT / systems,Smart home security,face recognition,Smart Home Security Using Facial Authentication and Mobile Application,International Journal of Wireless and Microwave Technologies,10.5815/ijwmt.2022.02.04,yes
38,2021,IoT / systems,Smart mirror (IoT),face recognition,MirrorME: implementation of an IoT based smart mirror through facial recognition and personalized information recommendation algorithm,International Journal of Information Technology,10.1007/s41870-021-00801-z,no
67,2021,IoT / systems,Smart mirror (IoT),face recognition,MirrorME: Implementation of an IoT based Smart Mirror through Facial\n Recognition and Personalized Information Recommendation Algorithm,arXiv (Cornell University),10.48550/arxiv.2103.05562,yes
129,2026,LLM / VLM,LLM hallucination detection,text,A Multi-Layer Framework for Hallucination Detection and Mitigation in Large Language Models Using Retrieval Grounding and Small Language Model Verification,Research Square,10.21203/rs.3.rs-9986071/v1,yes
100,2026,LLM / VLM,Medical visual question answering,vision-language,A linguistic lens into vision-language models for open-ended question-answers in medical visual question answering,Digital Health,10.1177/20552076261450386,no
88,2025,Medical imaging,Acute lymphoblastic leukemia,microscopy,Fusing ResNet50 and VGG16 for Enhanced Diagnosis of Acute Lymphoblastic Leukemia: A MultiNet Ensemble Approach,Communications in computer and information science,10.1007/978-3-032-11335-1_16,no
98,2025,Medical imaging,Bone marrow cells,microscopy,Explainable Deep Learning for Bone Marrow Cell Classification Using EfficientNet-B0 and Grad-CAM,,10.1109/iccit68739.2025.11491557,no
99,2025,Medical imaging,Brain tumour,MRI,Hybrid Vision Transformer Framework for Brain Tumor Detection and Classification,,10.1109/iccit68739.2025.11490501,no
124,2026,Medical imaging,Brain tumour,MRI,Res-HOGNet: Optimized Residual-HOG Feature Integration for Brain Tumor Classification,,10.1109/qpain69676.2026.11546518,no
24,2024,Medical imaging,Breast cancer,ultrasound,A novel automated system to detect breast cancer from ultrasound images using deep fused features with super resolution,Intelligence-Based Medicine,10.1016/j.ibmed.2024.100149,no
36,2025,Medical imaging,Breast cancer,ultrasound,Enhanced Breast Cancer Identification Using an Automated System Combining Deep Feature Extraction and Fuzzy C-Means Clustering in Ultrasound Imaging,Biomedical Materials & Devices,10.1007/s44174-025-00519-7,no
127,2026,Medical imaging,Breast cancer,histopathology,TransBreast-Net: An interpretable vision transformer ensemble for breast cancer histopathology classification,Journal of Pathology Informatics,10.1016/j.jpi.2026.100684,no
27,2022,Medical imaging,COVID-19,CT,Feature fusion based VGGFusionNet model to detect COVID-19 patients utilizing computed tomography scan images,Scientific Reports,10.1038/s41598-022-25539-x,yes
18,2022,Medical imaging,COVID-19,chest imaging,COVID-19 Along with Other Chest Infection Diagnoses Using Faster R-CNN and Generative Adversarial Network,ACM Transactions on Spatial Algorithms and Systems,10.1145/3520125,no
29,2024,Medical imaging,Colorectal polyp,colonoscopy,An automatic system to detect colorectal polyp using hybrid fused method from colonoscopy images,Intelligent Systems with Applications,10.1016/j.iswa.2024.200342,no
11,2023,Medical imaging,Diabetic foot ulcer,photographs,DFU_MultiNet: A deep neural network approach for detecting diabetic foot ulcers through multi-scale feature fusion using the DFU dataset,Intelligence-Based Medicine,10.1016/j.ibmed.2023.100128,no
9,2024,Medical imaging,Diabetic foot ulcer,photographs,DFU_XAI: A Deep Learning-Based Approach to Diabetic Foot Ulcer Detection Using Feature Explainability,Biomedical Materials & Devices,10.1007/s44174-024-00165-5,no
171,2026,Medical imaging,Diabetic foot ulcer,photographs,AI‐Enhanced System for Diabetic Foot Ulcer Localization and Classification Using Multi‐Scale Neural CNN Model,Health Science Reports,10.1002/hsr2.73161,no
117,2026,Medical imaging,Diabetic retinopathy,retinal fundus,A Hybrid Lesion-Aware Triage System for Urgent Diabetic Retinopathy Referral Under Clinical Class Imbalance,Information systems engineering and management,10.1007/978-3-032-23547-3_26,no
82,2025,Medical imaging,GERD & polyps,endoscopy,Enhancing Endoscopic Diagnosis of Gerd and Polyps: A Comparative Study of Deep Learning Models for Multi-Class Classification,,10.1109/iccri67201.2025.11262505,no
42,2025,Medical imaging,Gastrointestinal disease,endoscopy,An Explainable AI Based Deep Ensemble Transformer Framework for Gastrointestinal Disease Prediction from Endoscopic Images,EAI Endorsed Transactions on AI and Robotics,10.4108/airo.9795,yes
45,2020,Medical imaging,Lung cancer (NSCLC),histopathology,Non Small Cell Lung Cancer Classification from Histopathological Images using Feature Fusion and Deep CNN,International Journal of Engineering and Advanced Technology,10.35940/ijeat.e9266.069520,yes
80,2025,Medical imaging,Malaria,microscopy,Towards Reliable Malaria Diagnosis: Hybrid CNN Framework Based on VGG16 with Data Augmentation and Dropout-Enhanced Training Strategy,,10.1109/qpain66474.2025.11171778,no
87,2025,Medical imaging,Malaria,microscopy,MultiNet Ensemble: A Deep Learning Approach for Accurate Malaria Detection Using Microscopic Images,Communications in computer and information science,10.1007/978-3-032-11352-8_31,no
94,2025,Medical imaging,Malaria,microscopy,MalariaNet-XAI: An Explainable Deep Ensemble Framework for Accurate Malaria Detection,,10.1109/iccit68739.2025.11491174,no
15,2025,Medical imaging,Osteoporosis,X-ray,Bone Osteoporosis Fractures Detection with Deep Learning: An X-ray Image Analysis Approach,Biomedical Materials & Devices,10.1007/s44174-025-00285-6,no
118,2026,Medical imaging,Retinal image synthesis,diffusion / generative,C2-HDM: Clinical-Constrained Hierarchical Diffusion for Retinal Image Synthesis,Information systems engineering and management,10.1007/978-3-032-23547-3_28,no
25,2024,NLP,Bangla social-media comments,text,Machine learning and deep learning-based approach to categorize Bengali comments on social networks using fused dataset,PLoS ONE,10.1371/journal.pone.0308862,yes
104,2025,NLP,COVID-19 sentiment,text,Explainable Hybrid Deep Learning Model for Multi-Class COVID-19 Sentiment Classification,,10.1109/becithcon69222.2025.11503929,no
70,2024,NLP,Cyberbullying,text,Uncovering Bullying on Social Media Platforms: A Comprehensive Study of Machine Learning Classifiers for Cyberbullying Detection,Lecture notes in networks and systems,10.1007/978-981-97-3937-0_36,no
76,2024,NLP,Cyberbullying,Twitter text,Deep Learning and Ensemble Machine Learning-Based Approach to Detect Cyberbullying Using Twitter Data,,10.1109/icece64886.2024.11024703,no
44,2020,Networking,VANET routing (AODV/SDN),simulation,Implementing AODV Routing Protocol in VANET using SDN,International Journal of Computer Applications,10.5120/ijca2020920878,yes
46,2020,Networking,Wi-Fi 802.11 a/b/g/n,simulation,"Performance Comparison of IEEE802.11a, IEEE802.11b, IEEE802.11g and IEEE802.11n in Multiple Routers",Asian Journal of Applied Science and Technology,10.38177/ajast.2020.4406,yes
66,2020,Networking,Wi-Fi 802.11 a/b/g/n,simulation,"Performance Comparison of IEEE802.11a, IEEE802.11b, IEEE802.11g and IEEE802.11n in Multiple Routers",SSRN Electronic Journal,,no
4,2022,Public health,Dengue incidence,epidemiological + weather + socioeconomic,"Prediction of dengue incidents using hospitalized patients, metrological and socio-economic data in Bangladesh: A machine learning approach",PLoS ONE,10.1371/journal.pone.0270933,yes
55,2022,Quantum computing,Comparator circuit,circuit design,Quantum Technology for Comparator Circuit,2022 23rd International Symposium on Quality Electronic Design (ISQED),10.1109/isqed54688.2022.9806275,no
120,2026,Security,Bangla smishing (SMS phishing),text,TransFuse: An Interpretable Transformer Ensemble Framework for Bangla Smishing Detection,,10.1109/qpain69676.2026.11546480,no
71,2024,Security,Malicious websites,URL features,An Ensemble Machine Learning-Based Approach for Detecting Malicious Websites Using URL Features,Lecture notes in networks and systems,10.1007/978-981-97-3937-0_5,no
23,2025,Security,Phishing site detection,URL / web features,Explainable Machine Learning for Phishing Site Detection: A High‐Efficiency Approach Using Boosting Models and SHAP,The Journal of Engineering,10.1049/tje2.70110,no
